,name,x,y,z
0,Новокосино,2831.099699614435,2201.0996464315276,5265.89743892929
1,Новогиреево,2832.4816418029827,2198.253213429092,5266.343281490274
2,Перово,2833.737638320096,2196.8224656561883,5266.2646203505865
3,Шоссе Энтузиастов,2834.467211327074,2194.8137644952812,5266.709519908401
4,Авиамоторная,2836.2267339614805,2193.4647762302957,5266.324257867073
5,Площадь Ильича,2837.9823037956767,2191.917416118653,5266.022738676535
6,Марксистская,2839.3898487493484,2191.0520637324016,5265.624097942536
7,Третьяковская,2840.505207076408,2189.5488546022525,5265.647821672256
8,Ховрино,2835.819849453911,2175.0340371627285,5274.181805609927
9,Беломорская,2837.169154848118,2175.1803504230675,5273.395739929993
10,Речной вокзал,2837.9563091361997,2175.8096361107364,5272.712529129737
11,Водный стадион,2838.6545506943658,2177.1936558293264,5271.765276151689
12,Войковская,2839.7278329289175,2178.825863047641,5270.512754315612
13,Сокол,2840.038613877335,2180.439113322901,5269.678068419109
14,Аэропорт,2839.8324942967147,2181.481082016898,5269.357901408755
15,Динамо,2839.558919472706,2183.4573785492316,5268.68674518631
16,Белорусская,2839.5417948298327,2185.329233191514,5267.91984923586
17,Маяковская,2839.5603748025,2186.4552404378687,5267.442582450545
18,Тверская,2839.5907165910844,2187.088590443867,5267.163283950858
19,Театральная,2839.5411559782283,2188.1372572865303,5266.754443372162
20,Новокузнецкая,2840.2931380996747,2189.633383884198,5265.727066022672
21,Павелецкая,2840.8539284392486,2190.8098965626355,5264.935132971203
22,Автозаводская,2841.8342332672883,2193.0149075007253,5263.487893603414
23,Технопарк,2842.406175789447,2194.022973456743,5262.758908004246
24,Коломенская,2843.7012452636513,2194.9871408823155,5261.657122907882
25,Каширская,2845.814877465208,2195.5063043238797,5260.297591474438
26,Кантемировская,2846.9916610168248,2196.932212372038,5259.065348171931
27,Царицыно,2847.5768091899536,2198.446011652794,5258.1158649854315
28,Орехово,2847.1962785217256,2200.183480686855,5257.595172974496
29,Домодедовская,2846.540965306476,2201.415098468172,5257.434459607503
30,Красногвардейская,2845.2714324717626,2202.464500145325,5257.682151020513
31,Алма-Атинская,2842.9792543814915,2202.514309157958,5258.901090257441
32,Медведково,2828.448613219643,2183.0440691757576,5274.830616656087
33,Бабушкинская,2829.6151830218114,2184.1634558767446,5273.741453088594
34,Свиблово,2831.132061465689,2184.4700598853674,5272.800281444905
35,Ботанический сад,2832.5242425583547,2184.316674715723,5272.116091274742
36,ВДНХ,2834.231353681699,2185.865049672275,5270.556670640098
37,Алексеевская,2835.171462560833,2186.428165667978,5269.817421339608
38,Рижская,2836.3843936305793,2187.159487468641,5268.861162333356
39,Проспект Мира,2837.272446377034,2187.6140995666824,5268.19424626757
40,Сухаревская,2837.978365287008,2188.130819011181,5267.599388436476
41,Тургеневская,2838.33563997776,2188.712928484967,5267.165035530479
42,Китай-город,2839.1880938338522,2188.9431305943353,5266.609909501174
43,Третьяковская,2840.5537536848396,2189.5453361375758,5265.62309640798
44,Октябрьская,2841.7332232710796,2189.444748887195,5265.028487988232
45,Шаболовская,2842.8256236044485,2189.8943206488334,5264.2517358279865
46,Ленинский проспект,2844.5778717687003,2189.4329483478414,5263.49704057414
47,Академическая,2846.4920550460965,2189.9025047927585,5262.266716925497
48,Профсоюзная,2847.552796353896,2189.950859400706,5261.67267182093
49,Новые Черемушки,2848.415283979026,2189.9732218910344,5261.196504350972
50,Калужская,2849.9415037402678,2190.0057710644587,5260.356370813961
51,Беляево,2851.5179626334566,2190.1123651701937,5259.457589591094
52,Коньково,2852.548373383854,2190.352981964211,5258.798588261926
53,Теплый Стан,2854.0103136364564,2190.4270541780775,5257.974462659693
54,Ясенево,2853.8721971070627,2192.4975099076714,5257.186429225044
55,Новоясеневская,2853.429416898612,2193.711327389325,5256.920407887246
56,Бульвар Рокоссовского,2831.080535680962,2190.652414217365,5270.262422363048
57,Черкизовская,2831.479484885149,2191.9596293300815,5269.504522254599
58,Преображенская площадь,2833.146124599523,2190.7771420800855,5269.100449830704
59,Сокольники,2834.9460721117557,2189.50673679776,5268.6603627236545
60,Красносельская,2836.147854198896,2189.344702187502,5268.0808767639965
61,Комсомольская,2837.0209752219603,2189.1075690770044,5267.709277965177
62,Красные ворота,2837.699077777696,2189.096315345876,5267.3486941837
63,Чистые пруды,2838.303744003891,2188.811645845379,5267.14120142845
64,Лубянка,2839.1700446113687,2188.4560000330557,5266.822077277796
65,Охотный ряд,2839.755569384207,2188.096946773325,5266.6555856323685
66,Библиотека им.Ленина,2840.3063905441077,2188.1508603842526,5266.336147648948
67,Кропоткинская,2841.039090271527,2188.2277675049913,5265.908955258272
68,Парк культуры,2842.055157926028,2188.28416948133,5265.337204102266
69,Фрунзенская,2843.2542335866474,2188.0372495815172,5264.792432530969
70,Спортивная,2844.3178923468454,2187.419242500501,5264.474692199986
71,Воробьевы горы,2845.4619365330377,2187.923834136665,5263.646707726343
72,Университет,2847.4883525942696,2187.6809027591057,5262.651741236834
73,Проспект Вернадского,2849.85036368511,2187.129369942104,5261.6023247429575
74,Юго-Западная,2851.656353594199,2186.7972073587375,5260.761828375607
75,Тропарево,2853.308007561048,2187.2452078551537,5259.67991561299
76,Румянцево,2855.4158943631796,2186.44091668993,5258.870333830472
77,Саларьево,2856.849567684755,2186.1232193283477,5258.223732167821
78,Филатов луг,2859.1554488865527,2186.5824990500723,5256.779251019609
79,Прокшино ,2859.1594030252104,2189.3548820136916,5255.623056184237
80,Ольховая ,2859.518966311916,2190.9368296583375,5254.768129018549
81,Коммунарка,2859.72496596509,2191.8643898454106,5254.269179968187
82,Щелковская,2828.9139660350834,2194.193083241309,5269.952892220921
83,Первомайская,2830.004372391146,2195.126093334167,5268.978808707669
84,Измайловская,2831.2343397772693,2194.539751453072,5268.562269970648
85,Партизанская,2832.374171165384,2192.965097497634,5268.605283722856
86,Семеновская,2833.889939036815,2191.803398136034,5268.2735955287335
87,Электрозаводская,2834.5005758198845,2191.169855637991,5268.208628122099
88,Бауманская,2836.206894442572,2190.412936297284,5267.60501750254
89,Площадь Революции,2839.512906837649,2188.4851745579435,5266.625114116487
90,Курская,2837.978663993832,2190.200115107759,5266.739176995358
91,Арбатская,2840.5560446340883,2187.7982918128837,5266.347974795567
92,Смоленская,2841.6426276193415,2187.079906960006,5266.060164626725
93,Киевская,2842.7281285297295,2186.3617445519562,5265.772508305461
94,Парк Победы,2845.073014263361,2184.432134630488,5265.306903942455
95,Славянский бульвар,2847.2693446565754,2182.495710868174,5264.922672843443
96,Кунцевская,2848.174058872423,2181.1498833150686,5264.991046229885
97,Молодежная,2848.512564024873,2179.083612122343,5265.663470444375
98,Крылатское,2847.6681099848925,2177.84771664894,5266.631433702387
99,Строгино,2844.4539405888668,2174.938446170043,5269.569767565461
100,Мякинино,2843.6803943563564,2172.9952341667963,5270.788795525928
101,Волоколамская,2842.9216177338512,2172.198432263174,5271.526500577888
102,Митино,2842.926040147374,2170.533667133886,5272.209795720415
103,Пятницкое шоссе,2842.6820676298416,2169.7103922909982,5272.680198529034
104,Кунцевская,2848.098763660369,2181.2208465896206,5265.002378996532
105,Пионерская,2846.9580417000084,2181.9222476020987,5265.328690045728
106,Филевский парк,2846.038599485359,2182.5720523891887,5265.556430840815
107,Багратионовская,2845.2551453332335,2183.007690047028,5265.799234983261
108,Фили,2844.372906365694,2183.6712913069937,5266.000708417577
109,Кутузовская,2844.061252465697,2185.015471932855,5265.611453538639
110,Студенческая,2843.6449747393203,2185.8260846427725,5265.4998419271715
111,Киевская,2842.675072632615,2186.423038539259,5265.775700500157
112,Смоленская,2841.6050209390446,2186.922317038581,5266.145904189573
113,Арбатская,2840.643842107941,2187.7129156656115,5266.3360850713
114,Александровский сад,2840.358379053808,2188.063494527494,5266.344407884369
115,Выставочная,2843.028703597247,2184.8962247716104,5266.218498837749
116,Международная,2843.5254266154684,2184.5392539106833,5266.098403592044
117,Алтуфьево,2830.509661291233,2178.7215050109107,5275.512170485438
118,Бибирево,2830.986889159187,2180.3904145486845,5274.56651048719
119,Отрадное,2832.337622676123,2181.5925827386773,5273.344137652402
120,Владыкино,2834.0634701658596,2181.770333897973,5272.34326056206
121,Петровско-Разумовская,2835.483347669876,2181.6861849933084,5271.614608001631
122,Тимирязевская,2836.8274734890674,2182.6404602533194,5270.496324533659
123,Дмитровская,2837.324769420616,2183.5935850458186,5269.833793221471
124,Савеловская,2838.138291964625,2184.6479028335816,5268.958680453753
125,Менделеевская,2838.559785708564,2185.917520439788,5268.20500140157
126,Цветной бульвар,2838.4994521162284,2187.554514683161,5267.557983128918
127,Чеховская,2839.3866491943745,2187.2926565462017,5267.1885566206765
128,Боровицкая,2840.4719438429015,2188.1956116983847,5266.228261401632
129,Полянка,2841.1088244513376,2189.4175316133314,5265.376769034569
130,Серпуховская,2841.617756028531,2190.2997067217707,5264.735199737771
131,Тульская,2842.935341113332,2191.139462594942,5263.674334693206
132,Нагатинская,2845.000052993615,2192.600046612958,5261.950278562044
133,Нагорная,2846.0672879301915,2192.5897251569654,5261.3774137301525
134,Нахимовский проспект,2847.033182458212,2192.928224811839,5260.7137214265385
135,Севастопольская,2848.103050407027,2193.1833711143086,5260.028204765623
136,Чертановская,2848.5914052134913,2194.1911052157284,5259.343438104798
137,Южная,2849.7933964962867,2195.353295715977,5258.207156843021
138,Пражская,2850.882801098344,2195.664450063039,5257.486650209493
139,Улица Академика Янгеля,2851.949728301366,2196.4157468797325,5256.594107794563
140,Аннино,2853.087162325716,2196.93484860125,5255.759879900679
141,Бульвар Дмитрия Донского,2854.969801425258,2196.786129687108,5254.79962827929
142,Планерная,2839.067926290188,2173.522772805696,5273.057278847383
143,Сходненская,2839.679070422176,2174.301334238204,5272.4071812537595
144,Тушинская,2841.5581926787568,2175.4462525256286,5270.9222760340945
145,Спартак,2842.159138082965,2175.7628179836756,5270.467587765931
146,Щукинская,2841.736453208028,2177.645878017028,5269.917775493665
147,Октябрьское поле,2841.7472772886076,2180.0228016126225,5268.929112872163
148,Полежаевская,2842.0064894412462,2182.1588827863698,5267.904965377639
149,Беговая,2841.2235395111034,2183.7358734952095,5267.673816148653
150,Улица 1905 года,2841.281657793017,2185.102381376725,5267.075765924649
151,Баррикадная,2840.7875524197075,2186.2196871268616,5266.878635552197
152,Пушкинская,2839.5547699613353,2187.0954884415733,5267.17979879445
153,Кузнецкий мост,2839.08777095599,2188.320463828785,5266.922742588534
154,Китай-город,2839.246263192952,2189.189537445939,5266.476129831226
155,Таганская,2839.5734770718313,2191.0012312556887,5265.546227405685
156,Пролетарская,2839.643092983539,2192.1076856963714,5265.048147812305
157,Волгоградский проспект,2839.379881098578,2193.3505948878355,5264.67245502679
158,Текстильщики,2838.7697372299485,2196.593502744883,5263.64933887948
159,Кузьминки,2837.844039003818,2198.347089049995,5263.4164082234565
160,Рязанский проспект,2835.942789027071,2199.203571438285,5264.083315140296
161,Выхино,2835.0290524167867,2200.4047344215173,5264.0735440045055
162,Лермонтовский проспект,2834.7246776922775,2202.8855554091624,5263.19980918947
163,Жулебино,2835.79617765056,2204.0984167762986,5262.11470874464
164,Котельники,2836.4607885177893,2204.8029544206897,5261.461311021762
165,Новослободская,2838.65356846984,2186.1563549712146,5268.055363208744
166,Проспект Мира,2837.41870338685,2187.7621641233,5268.053987470233
167,Комсомольская,2836.896603529396,2189.0279528232977,5267.809343801427
168,Курская,2837.8965697752014,2190.2964055885027,5266.7433690017815
